Date,Dish Name,Ingredients Used,Quantity,Time (min),Appliance
22/05/25,Paneer Curry,"Paneer, Onion, Tomato, Garlic, Spices","200g, 1, 2, 3 cloves, 1 tsp",35,Gas Stove
22/05/25,Veg Fried Rice,"Rice, Carrot, Peas, Soy Sauce, Onion","250g, 1, 50g, 1 tbsp, 1",25,Induction Cooktop
23/05/25,Aloo Paratha,"Potato, Wheat Flour, Spices, Ghee","2 med, 200g, 1 tsp, 1 tbsp",30,Tava
23/05/25,Tomato Soup,"Tomato, Garlic, Onion, Salt, Pepper","4, 2 cloves, 1, to taste",20,Blender + Stove
24/05/25,Pasta,"Pasta, Tomato, Basil, Olive Oil","150g, 2, few leaves, 1 tbsp",25,Gas Stove
25/05/25,Dal Tadka,"Yellow Dal, Onion, Garlic, Ghee, Spices","150g, 1, 2 cloves, 1 tbsp, 1 tsp",40,Pressure Cooker
25/05/25,Vegetable Curry,"Mixed Veggies, Tomato, Onion, Spices","300g, 2, 1, 2 tsp",35,Gas Stove
26/05/25,Smoothie,"Banana, Milk, Oats, Honey","1, 250ml, 2 tbsp, 1 tsp",5,Blender
27/05/25,Poha,"Flattened rice, Onion, Peanuts, Mustard Seeds","100g, 1, 20g, 1 tsp",15,Gas Stove
28/05/25,Khichdi,"Rice, Moong Dal, Carrot, Ghee, Salt","100g, 100g, 1, 1 tbsp, to taste",35,Pressure Cooker
29/05/25,Pulao,"Basmati Rice, Peas, Carrot, Ghee, Spices","200g, 50g, 1, 1 tbsp, 2 tsp",30,Gas Stove